modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
150,STR-D69839CA722FA2B7E2AC,N#Cc1cc2cc(CN3CCC(Nc4ncnc5sc(CC(F)(F)F)cc45)CC3)ccc2n1CCO,7.455931955649724,IC50,in_vivo,PubChem,2018.0,STR-D69839CA722FA2B7E2AC,c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
151,STR-D778F7E0C069C7D2FAAC,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCC1CCN(C=O)CC1,7.200659450546418,IC50,in_vivo,PubChem,2020.0,STR-D778F7E0C069C7D2FAAC,c1nc(NC2CCN(Cc3ccc4c(ccn4CCC4CCNCC4)c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
152,STR-D7F11C97E7F203086F40,N#Cc1[nH]c2ccc(CN3CCC(Nc4ncnc5sc(CC(F)(F)F)cc45)CC3)cc2c1F,7.017728766960431,IC50,in_vivo,PubChem,2018.0,STR-D7F11C97E7F203086F40,c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
153,STR-DA4F708C5ED8977F505E,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,8.439713034397075,IC50,in_vivo,PubChem,2021.0,STR-DA4F708C5ED8977F505E,O=S(=O)(c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
154,STR-E06A004C382394357B0F,CCN(C(=O)c1cc(F)ccc1Nc1cncnc1N1CCN(CC2CN(c3ccc(S(=O)(=O)N4CC[C@H](NC(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)C(C)C,6.983549660633662,IC50,in_vivo,PubChem,2026.0,STR-E06A004C382394357B0F,O=S(=O)(c1ccc(N2CC(CN3CCN(c4ncncc4Nc4ccccc4)CC3)C2)cc1)N1CCCC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
155,STR-E1EC5F0B60554F1CF579,CCC(=O)c1ccc(N2CC(CN3CCN(c4ncncc4Nc4ccc(F)cc4C(=O)N(CC)C(C)C)CC3)C2)cc1,7.303556236861,IC50,in_vivo,PubChem,2026.0,STR-E1EC5F0B60554F1CF579,c1ccc(Nc2cncnc2N2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
156,STR-E273D79C829F8257868E,CCN(C(=O)c1cc(F)ccc1Nc1cncnc1N1CCN(CC2CN(c3ccc(F)cc3)C2)CC1)C(C)C,6.558933593360736,IC50,in_vivo,PubChem,2026.0,STR-E273D79C829F8257868E,c1ccc(Nc2cncnc2N2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
157,STR-E3834AC8FE07071DA4C2,CN1CCN(c2ccc3ncnc(NC4CCN(CC5CN(c6ccc(C#N)cc6)C5)CC4)c3n2)CC1,5.251811972993799,IC50,in_vivo,PubChem,2023.0,STR-E3834AC8FE07071DA4C2,c1ccc(N2CC(CN3CCC(Nc4ncnc5ccc(N6CCNCC6)nc45)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,test
158,STR-E49D89B6198794AA3844,CCC(=O)Nc1cccc(N2CC(CN3CCN(c4ncncc4Nc4ccc(F)cc4C(=O)N(C(C)C)C(C)C)CC3)C2)c1,6.420282580215366,IC50,in_vivo,PubChem,2026.0,STR-E49D89B6198794AA3844,c1ccc(Nc2cncnc2N2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
159,STR-E4F36A98E00A8B27E8BD,COC(=O)N[C@H]1CCC[C@@H]1[C@](Cn1ccnn1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,8.27642098432889,IC50,in_vivo,PubChem,2021.0,STR-E4F36A98E00A8B27E8BD,O=S(=O)(c1ccc(N2CC(CN3CCC(C(Cn4ccnn4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
160,STR-E4FD6D567C5C0E11EFF6,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCN(c5ncncc5Nc5ccc(F)cc5C(=O)N(C(C)C)C(C)C)CC4)C3)cc2)C1,6.657577319177793,IC50,in_vivo,PubChem,2026.0,STR-E4FD6D567C5C0E11EFF6,O=S(=O)(c1ccc(N2CC(CN3CCN(c4ncncc4Nc4ccccc4)CC3)C2)cc1)C1CNC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
161,STR-E60731CF852256103E11,CN(C)CCNc1ccc2ncnc(NC3CCN(CC4CN(c5ccc(C#N)cc5)C4)CC3)c2n1,5.6848877946237835,IC50,in_vivo,PubChem,2023.0,STR-E60731CF852256103E11,c1ccc(N2CC(CN3CCC(Nc4ncnc5cccnc45)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
162,STR-E7EA8D7931BFDDAB9B7B,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2C[C@H]1CNC(=O)CO1,6.910094888560602,IC50,in_vivo,PubChem,2020.0,STR-E7EA8D7931BFDDAB9B7B,O=C1COC(Cn2ccc3cc(CN4CCC(Nc5ncnc6sccc56)CC4)ccc32)CN1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
163,STR-E9F8E8FC7E6B19E54239,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2Cc1ccn[nH]1,7.481486060122112,IC50,in_vivo,PubChem,2020.0,STR-E9F8E8FC7E6B19E54239,c1cc(Cn2ccc3cc(CN4CCC(Nc5ncnc6sccc56)CC4)ccc32)[nH]n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
