layer,evidence_domain,endpoint,document_decade,evidence_stage,development_stage,rows
source,pk_adme,Binding,2020s,<missing>,unknown,52
source,pk_adme,Bioavailability Increase,2000s,<missing>,unknown,2
source,pk_adme,Bmax,2010s,<missing>,unknown,1
source,pk_adme,Bound,1990s,<missing>,unknown,14
source,pk_adme,Bound,2000s,<missing>,unknown,3
source,pk_adme,Bound,2020s,<missing>,unknown,89
source,pk_adme,Brain level,1990s,<missing>,unknown,8
source,pk_adme,C8h,2000s,<missing>,unknown,20
source,pk_adme,CC50,1990s,<missing>,unknown,7
source,pk_adme,CC50,2000s,<missing>,unknown,67
source,pk_adme,CC50,2010s,<missing>,unknown,81
source,pk_adme,CC50,2020s,<missing>,unknown,94
source,pk_adme,CE logK',2000s,<missing>,unknown,18
source,pk_adme,CI,2000s,<missing>,unknown,3
source,pk_adme,CL,1970s,<missing>,unknown,10
source,pk_adme,CL,1980s,<missing>,unknown,25
source,pk_adme,CL,1990s,<missing>,unknown,356
source,pk_adme,CL,1990s,preclinical_in_vivo,unknown,80
source,pk_adme,CL,2000s,<missing>,unknown,11890
source,pk_adme,CL,2000s,preclinical_in_vitro,unknown,16
source,pk_adme,CL,2000s,preclinical_in_vivo,unknown,72
source,pk_adme,CL,2010s,<missing>,unknown,38196
source,pk_adme,CL,2010s,preclinical_in_vitro,unknown,175
source,pk_adme,CL,2010s,preclinical_in_vivo,unknown,48
source,pk_adme,CL,2020s,<missing>,unknown,28325
source,pk_adme,CL,2020s,preclinical_ex_vivo,unknown,2
source,pk_adme,CL,2020s,preclinical_in_vitro,unknown,18
source,pk_adme,CL,2020s,preclinical_in_vivo,unknown,26
source,pk_adme,CL,<missing_or_invalid>,<missing>,unknown,7582
source,pk_adme,CL free,2010s,<missing>,unknown,55
source,pk_adme,CL free,2020s,<missing>,unknown,118
source,pk_adme,CL(app),2020s,<missing>,unknown,9
source,pk_adme,CL-renal,<missing_or_invalid>,<missing>,unknown,2
source,pk_adme,CL/F,2000s,<missing>,unknown,23
source,pk_adme,CL/F,2010s,<missing>,unknown,46
source,pk_adme,CL/F,2020s,<missing>,unknown,1
source,pk_adme,CLH,2000s,<missing>,unknown,9
source,pk_adme,CLH,2010s,<missing>,unknown,7621
source,pk_adme,CLH,2010s,preclinical_in_vitro,unknown,32
source,pk_adme,CLH,2020s,<missing>,unknown,6742
source,pk_adme,CLH(app),2010s,<missing>,unknown,140
source,pk_adme,CLH(app),2020s,<missing>,unknown,40
source,pk_adme,CL_renal,1980s,<missing>,unknown,16
source,pk_adme,CL_renal,1990s,<missing>,unknown,4
source,pk_adme,CL_renal,2000s,<missing>,unknown,504
source,pk_adme,CL_renal,2010s,<missing>,unknown,356
source,pk_adme,CL_renal,<missing_or_invalid>,<missing>,unknown,37
source,pk_adme,CLb,2010s,<missing>,unknown,7
source,pk_adme,CLd/F,2000s,<missing>,unknown,3
source,pk_adme,CLint,2010s,<missing>,unknown,6
source,pk_adme,CLint,2020s,<missing>,unknown,40
source,pk_adme,CLint,<missing_or_invalid>,<missing>,unknown,7
source,pk_adme,CLt/F,2010s,<missing>,unknown,2
source,pk_adme,CRC/CRC0,<missing_or_invalid>,<missing>,unknown,128
source,pk_adme,Caco-2 A-B,2000s,<missing>,unknown,3
source,pk_adme,Caco-2 Papp,2000s,<missing>,unknown,34
source,pk_adme,Calculated Ratio,<missing_or_invalid>,<missing>,unknown,8
source,pk_adme,Carboxylase activity,1990s,<missing>,unknown,4
source,pk_adme,Cell Viability,2020s,<missing>,unknown,189
source,pk_adme,Cell permeation,2000s,<missing>,unknown,2
source,pk_adme,Clearance,2000s,<missing>,unknown,19
source,pk_adme,Clerance,2000s,<missing>,unknown,1
source,pk_adme,Cmax,1970s,<missing>,unknown,4
source,pk_adme,Cmax,1980s,<missing>,unknown,60
source,pk_adme,Cmax,1990s,<missing>,unknown,1080
source,pk_adme,Cmax,1990s,preclinical_in_vivo,unknown,33
source,pk_adme,Cmax,2000s,<missing>,unknown,5812
source,pk_adme,Cmax,2000s,preclinical_in_vivo,unknown,55
source,pk_adme,Cmax,2010s,<missing>,unknown,12956
source,pk_adme,Cmax,2020s,<missing>,unknown,9350
source,pk_adme,Cmax,2020s,preclinical_in_vivo,unknown,6
source,pk_adme,Cmax,<missing_or_invalid>,<missing>,unknown,335
source,pk_adme,Cmax_triphosphate,2010s,<missing>,unknown,1
source,pk_adme,Compound recovery,2010s,<missing>,unknown,75
source,pk_adme,Compound recovery,2010s,preclinical_in_vitro,unknown,16
source,pk_adme,Compound remaining,2000s,<missing>,unknown,13
source,pk_adme,Compound remaining,2010s,<missing>,unknown,2
source,pk_adme,Concentration,1980s,<missing>,unknown,8
source,pk_adme,Concentration,1990s,<missing>,unknown,33
source,pk_adme,Concentration,2000s,<missing>,unknown,12
source,pk_adme,Control,1980s,<missing>,unknown,43
source,pk_adme,Covalent binding,2000s,<missing>,unknown,5
source,pk_adme,Cp,2000s,preclinical_in_vitro,unknown,3
source,pk_adme,Cp,2010s,<missing>,unknown,2
source,pk_adme,Cp(f),2020s,<missing>,unknown,1
source,pk_adme,Ct,2020s,<missing>,unknown,12
source,pk_adme,D,2000s,<missing>,unknown,3
