modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
432,STR-801FAB4C61D8E9427A35,C=C1C[C@H]2CC[C@@H]1N[C@@H]2C(=O)N1CC2(C1)CN(c1ncncc1Oc1ccc(F)cc1C(=O)N(C(C)C)C(C)C)C2,8.207608310501746,IC50,biochemical_inhibition,BindingDB;PubChem,,STR-801FAB4C61D8E9427A35,C=C1CC2CCC1NC2C(=O)N1CC2(C1)CN(c1ncncc1Oc1ccccc1)C2,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
433,STR-80374AD7F6D7CEE947F4,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CC/C=C\CC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,5.958607314841775,IC50,biochemical_inhibition,PubChem,2022.0,STR-80374AD7F6D7CEE947F4,O=C(CCc1c[nH]c2ccccc12)NC1CCC=CCCC(C(=O)N2CCCC2)NC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
434,STR-8053B83BB63EAAF32F61,CC(C)N(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CN(C(=O)[C@H]3N[C@H]4CC[C@@H]3C[C@H]4CC3CC3)C2)C1)C(C)C,8.387216143280265,IC50,biochemical_inhibition,BindingDB;PubChem,,STR-8053B83BB63EAAF32F61,O=C(C1NC2CCC1CC2CC1CC1)N1CC2(C1)CN(c1ncncc1Oc1ccccc1)C2,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
435,STR-80B7C819E96F09B4FE2E,CN([C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1)S(C)(=O)=O,4.424812155072339,IC50,biochemical_inhibition,BindingDB,,STR-80B7C819E96F09B4FE2E,O=S(=O)(c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CC1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
436,STR-80D8AF5705E26175735B,O=C([C@H]1N[C@H]2CC[C@@H]1C[C@@H]2O)N1CC2(C1)CN(c1c(C(F)(F)F)cnc3sc(CC(F)(F)F)cc13)C2,7.5638373529592435,IC50,biochemical_inhibition,BindingDB;PubChem,,STR-80D8AF5705E26175735B,O=C(C1NC2CCC1CC2)N1CC2(C1)CN(c1ccnc3sccc13)C2,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
437,STR-8131638FF64AE92C8993,CO[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CCCOc2ccc(C#N)cc2)CC1,5.055517327849831,IC50,biochemical_inhibition,BindingDB,,STR-8131638FF64AE92C8993,c1ccc(OCCCN2CCC(C(c3ccccc3)C3CCCC3)CC2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
438,STR-8162199E4581352B8C4E,N#Cc1cc2cc(C(=O)N[C@H]3CC[C@H](C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2[nH]1,4.935542010773082,IC50,biochemical_inhibition,BindingDB,,STR-8162199E4581352B8C4E,O=C(NC1CCC(C2(C3CCCC3)NCCc3ccccc32)CC1)c1ccc2[nH]ccc2c1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,test
439,STR-818BBE16B70D045AF1C8,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCC1CNC(=O)CO1,7.552841968657781,IC50,biochemical_inhibition,BindingDB,,STR-818BBE16B70D045AF1C8,O=C1COC(CCn2ccc3cc(CN4CCC(Nc5ncnc6sccc56)CC4)ccc32)CN1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
440,STR-825800A7E58129CFB1B7,Cc1c(C(=O)[C@@H]2CCN(C(=O)[C@H]3NC[C@@H]4C[C@@H]43)[C@H](C)C2)c2ccncc2n1-c1ccc(F)cc1C(=O)N(CC(F)(F)F)C(C)C,5.108016769148033,IC50,biochemical_inhibition,PubChem,2025.0,STR-825800A7E58129CFB1B7,O=C(c1cn(-c2ccccc2)c2cnccc12)C1CCN(C(=O)C2NCC3CC32)CC1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
441,STR-826ACF8B9EB407EBF5F3,N#Cc1cc2ccc(C(=O)N3CCC(CC4(C5CCCC5)NCCc5ccccc54)CC3)cc2[nH]1,4.661543506395395,IC50,biochemical_inhibition,BindingDB,,STR-826ACF8B9EB407EBF5F3,O=C(c1ccc2cc[nH]c2c1)N1CCC(CC2(C3CCCC3)NCCc3ccccc32)CC1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
