smiles,n_measurements,n_sources,p_activity_median,p_activity_best,value_nm_median,value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)C5)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4456868,Menin,2020,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC(F)(F)CC5)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4450979,Menin,2020,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC5)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4588924,Menin,2020,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCC5)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4456003,Menin,2020,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4528467,Menin,2020,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4571451,Menin,2020,high_potency_<=100nM,True,True
C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H]3C/C=C\C[C@H](NC(=O)C4(CCC4)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](NC3=O)CC6=CC(=CC=C6)F)C(=O)N7CCC[C@H]7C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)C,1,1,8.628932137728263,8.628932137728263,2.35,2.35,IC50,PubChem,162670123.0,,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CC(C7)F)C8=CC(=CC=C8)F,4,1,8.610924374808178,9.0,2.5,1.0,IC50,PubChem,155525699.0,,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCC7)C8=CC(=CC=C8)F,4,1,8.610924374808178,8.698970004336019,2.5,2.0,IC50,PubChem,155567300.0,,,high_potency_<=100nM,True,True
CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(C(=O)C6)C(C)(C)O,1,1,8.602059991327963,8.602059991327963,2.5,2.5,IC50,PubChem,176456329.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True
