smiles,n_measurements,n_sources,p_herg_median,p_herg_best,herg_value_nm_median,herg_value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM,herg_blocker_label,herg_label_policy
O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3c(F)cccc32)CC1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL2059324,hERG / KCNH2,2012.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C1OCc2cc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)cc(Cl)c21,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL2441428,hERG / KCNH2,2013.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C1S/C(=C\c2ccc(Oc3ccc(F)cc3)cc2)C(=O)N1c1ccc(OCCCCN2CCN(CC3CC3)CC2)cc1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL4287698,hERG / KCNH2,2018.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1cc(-c2ccc(F)cc2Cl)no1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,Ki,ChEMBL,CHEMBL2016937,hERG / KCNH2,2012.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Nc1n[nH]c2cccc(C#Cc3cccc(NC(=O)c4ccc(N5CCOCC5)c(C(F)(F)F)c4)c3)c12,1,1,5.467882883751196,5.467882883751196,3405.0,3405.0,IC50,ChEMBL,CHEMBL4793906,hERG / KCNH2,2020.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
COc1cc(Nc2c(C#N)cnc3cc(OCCON4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1,1,5.467245621007502,5.467245621007502,3410.0,3410.0,IC50,ChEMBL,CHEMBL5435819,hERG / KCNH2,2023.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1cc(F)ccc1-c1cc2c(cn1)ncn2-c1ccc2c(C)n[nH]c2c1,1,1,5.467245621007502,5.467245621007502,3410.0,3410.0,IC50,ChEMBL,CHEMBL6145874,hERG / KCNH2,2024.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1cccc(C)c1C(=O)N1CCC(N2CCC(N(Cc3ccccc3)C(=O)C3CCC3)CC2)CC1,1,1,5.467245621007502,5.467245621007502,3410.0,3410.0,IC50,ChEMBL,CHEMBL472260,hERG / KCNH2,2009.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=S(=O)(c1ccc2c(c1)CCNCC2)N1CC(Oc2ccccc2Cl)C1,1,1,5.467245621007502,5.467245621007502,3410.0,3410.0,Ki,ChEMBL,CHEMBL524171,hERG / KCNH2,2009.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
CCNC(=O)c1ccc2c(C3CCN(CC4(O)C5CC6CC(C5)CC4C6)CC3)c(C)nn2c1,1,1,5.464705879957229,5.464705879957229,3430.0,3430.0,Ki,ChEMBL,CHEMBL5397585,hERG / KCNH2,2023.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
