structure_id,endpoint,assay_family,measurements,sources,median_p_activity,min_p_activity,max_p_activity,sd_p_activity,range_log10
STR-094C702ADD088489F553,IC50,cellular_functional,2,1,5.801029995663981,5.301029995663981,6.301029995663981,0.7071067811865476,1.0
STR-6B0BEC7CA952AA3F373C,IC50,cellular_functional,2,1,5.692841466669894,5.198596289982644,6.187086643357144,0.6989682320085956,0.9884903533745
STR-D8497B8DD5B2F916727A,IC50,cellular_functional,2,1,5.4646117685782825,4.97061622231479,5.958607314841775,0.6986152012777364,0.9879910925269844
STR-0855D8D007FB84375292,IC50,biochemical_inhibition,2,1,5.466650724788503,4.97469413473523,5.958607314841775,0.6957316817521586,0.983913180106545
STR-0855D8D007FB84375292,IC50,biochemical_binding,4,2,5.466650724788503,4.97469413473523,5.958607314841775,0.5680625393937344,0.983913180106545
STR-74AB0C5D40C92C89D385,IC50,cellular_functional,2,1,5.169377695520334,4.718966632752273,5.619788758288394,0.6369774336094701,0.9008221255361208
STR-BD5E8CD3F04E20EF2036,IC50,in_vivo,3,1,8.698970004336019,7.958607314841775,8.769551078621726,0.44921197447234695,0.8109437637799513
STR-28182BF64384BF406391,IC50,in_vivo,2,1,7.080953430777201,6.6777807052660805,7.484126156288321,0.5701723363967512,0.8063454510222403
STR-135D463A1137C39C5816,IC50,cellular_functional,2,1,5.147496020333332,4.772113295386326,5.522878745280337,0.5308713407006246,0.7507654498940113
STR-977651FE1C7684004EBE,IC50,biochemical_binding,3,2,5.619788758288394,4.882728704344236,5.619788758288394,0.42554182055357964,0.7370600539441581
