structure_id_a,structure_id_b,core_smiles,variable_fragment_a,variable_fragment_b,transformation,core_heavy_atoms,variable_heavy_atoms_a,variable_heavy_atoms_b,p_activity_a,p_activity_b,absolute_delta_pactivity,achiral_morgan_tanimoto,is_activity_cliff,shared_assay_id,shared_document_id,evidence_context_grade
STR-06E53FF33324D9B1A44A,STR-E1374AA2ED612B5F391C,N#Cc1ccc(OCCCN2CCC(C(C#N)(c3ccccc3)[*:1])CC2)cc1,CNC(=O)O[C@H]1CCC[C@@H]1[*:1],CNC(=O)N[C@@H]1CCC[C@H]1[*:1],CNC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CNC(=O)N[C@@H]1CCC[C@H]1[*:1],27,10,10,7.698970004336019,4.679853713888946,3.019116290447073,0.75,True,True,True,same_assay
STR-3BD3AAFB21D6F0AE245A,STR-BA4B8BF78E2F3EDB8F63,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CC(C)[C@H](CCCO)[*:1],CC(C)[C@@H](CCNCCC(N)=O)[*:1],CC(C)[C@H](CCCO)[*:1]>>CC(C)[C@@H](CCNCCC(N)=O)[*:1],30,8,12,4.152489034796752,7.167491087293763,3.015002052497011,0.7906976744186046,True,True,True,same_assay
STR-79D75B6A88F0457FA1C2,STR-E15050249B2D732BD2E2,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],CCC(=O)O[*:1],CSC[*:1],CCC(=O)O[*:1]>>CSC[*:1],40,5,3,8.0,4.987162775294828,3.012837224705172,0.7073170731707317,True,True,True,same_assay
STR-C24E330B171F75FD816E,STR-E15050249B2D732BD2E2,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],CC(=O)N[*:1],CSC[*:1],CC(=O)N[*:1]>>CSC[*:1],40,4,3,8.0,4.987162775294828,3.012837224705172,0.725,True,True,True,same_assay
STR-42FABA990848887F9FDB,STR-79D75B6A88F0457FA1C2,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCC1CCCC1[*:1],CCC(=O)O[C@H]1CCC[C@@H]1[*:1],CCC1CCCC1[*:1]>>CCC(=O)O[C@H]1CCC[C@@H]1[*:1],35,7,10,4.991399828238082,8.0,3.008600171761918,0.7564102564102564,True,True,True,same_assay
STR-42FABA990848887F9FDB,STR-C24E330B171F75FD816E,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCC1CCCC1[*:1],CC(=O)N[C@H]1CCC[C@@H]1[*:1],CCC1CCCC1[*:1]>>CC(=O)N[C@H]1CCC[C@@H]1[*:1],35,7,9,4.991399828238082,8.0,3.008600171761918,0.7532467532467533,True,True,True,same_assay
STR-345899C1E6A28DAE7335,STR-AEBCF9F47DC8FFE6B030,N#Cc1ccc(OCCCN2CCC(C(C#N)(c3ccccc3)[*:1])CC2)cc1,c1cc(C[*:1])ccn1,CNC(=O)O[C@@H]1CCC[C@H]1[*:1],c1cc(C[*:1])ccn1>>CNC(=O)O[C@@H]1CCC[C@H]1[*:1],27,7,10,3.743522793758323,6.7495799976911055,3.0060572039327824,0.5394736842105263,True,True,True,same_assay
STR-3187B729C5A86F22C447,STR-5B65D30F2628A312D8CA,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCO[C@@H]1CCC[C@H]1[*:1],CNC(=O)N[C@H]1CCC[C@@H]1[*:1],CCO[C@@H]1CCC[C@H]1[*:1]>>CNC(=O)N[C@H]1CCC[C@@H]1[*:1],35,8,10,5.045757490560675,8.045757490560675,3.0,0.7073170731707317,True,True,True,same_assay
STR-3187B729C5A86F22C447,STR-990708AC2AD0842F3BCB,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCO[C@@H]1CCC[C@H]1[*:1],NC(=O)O[C@H]1CCC[C@@H]1[*:1],CCO[C@@H]1CCC[C@H]1[*:1]>>NC(=O)O[C@H]1CCC[C@@H]1[*:1],35,8,9,5.045757490560675,8.045757490560675,3.0,0.7922077922077922,True,True,True,same_assay
STR-20D5B5F6CCFE315C6A44,STR-5B65D30F2628A312D8CA,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],c1cc(C[*:1])ccn1,CNC(=O)N[C@H]1CCC[C@@H]1[*:1],c1cc(C[*:1])ccn1>>CNC(=O)N[C@H]1CCC[C@@H]1[*:1],35,7,10,5.055517327849831,8.045757490560675,2.990240162710844,0.6375,True,True,True,same_assay
STR-20D5B5F6CCFE315C6A44,STR-990708AC2AD0842F3BCB,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],c1cc(C[*:1])ccn1,NC(=O)O[C@H]1CCC[C@@H]1[*:1],c1cc(C[*:1])ccn1>>NC(=O)O[C@H]1CCC[C@@H]1[*:1],35,7,9,5.055517327849831,8.045757490560675,2.990240162710844,0.6538461538461539,True,True,True,same_assay
STR-5470E2C155BCDC752B33,STR-A723964BC2F481BF1509,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCNC(=O)O[C@H]1CCC[C@@H]1[*:1],CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],CCNC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CC(C)C(=O)O[C@@H]1CCC[C@H]1[*:1],35,11,11,6.769551078621726,3.783570169123749,2.985980909497977,0.8148148148148148,True,True,True,same_assay
STR-06E53FF33324D9B1A44A,STR-604BE22F0CAC884F2D40,N#Cc1ccc(OCCCN2CCC(C(C#N)(c3ccccc3)[*:1])CC2)cc1,CNC(=O)O[C@H]1CCC[C@@H]1[*:1],COCC(C1CC1)[*:1],CNC(=O)O[C@H]1CCC[C@@H]1[*:1]>>COCC(C1CC1)[*:1],27,10,7,7.698970004336019,4.721246399047171,2.9777236052888476,0.5128205128205128,True,True,True,same_assay
STR-94C191645BE5B0A1978A,STR-A50D555FBD2E6BE12E86,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],O=C(O[C@H]1CCC[C@@H]1[*:1])C1CC1,CSC[C@@H]1CCC[C@H]1[*:1],O=C(O[C@H]1CCC[C@@H]1[*:1])C1CC1>>CSC[C@@H]1CCC[C@H]1[*:1],35,11,8,7.744727494896693,4.769551078621726,2.9751764162749668,0.6951219512195121,True,True,True,same_assay
STR-A62EFE6B816DF994EE32,STR-E15050249B2D732BD2E2,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],COC(=O)N[*:1],CSC[*:1],COC(=O)N[*:1]>>CSC[*:1],40,5,3,7.958607314841775,4.987162775294828,2.9714445395469467,0.7073170731707317,True,True,True,same_assay
