PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,GENE_SYMBOL,siRNA_ID,ZScoreRepA,ZScoreRepB,ZScoreRepC,ZScoreRepD,PUBCHEM_NCBI_GENE_ID
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_GENE_ID
RESULT_DESCR,,,,,,,,Gene Symbol,Reagent Identifier,EdUZscore,EdUZscore,EdUZscore,EdUZscore,
100,164221757,,,Inactive,,,,CBL,SI02662471,-0.216776,2.66035,-0.962955,0.773465,867
101,164221758,,,Inactive,,,,CBX1,SI02657256,-1.03691,-1.75962,-0.679413,-0.697191,10951
102,164221759,,,Inactive,,,,CBX1,SI00299670,1.3427,-0.613017,0.800773,0.574954,10951
103,164221760,,,Inactive,,,,CBX2,SI04160387,-0.270792,0.114333,0.0478001,0.46152,84733
104,164221761,,,Inactive,,,,CBX2,SI04176837,0.251951,1.34922,0.326386,0.808006,84733
105,164221762,,,Active,,,,CBX3,SI00096173,-2.75478,-2.60185,-1.47875,-3.61776,11335
106,164221763,,,Inactive,,,,CBX3,SI02665222,-0.270865,1.30233,-0.80704,-0.693913,11335
107,164221764,,,Inactive,,,,CBX4,SI00054257,-0.425285,0.580431,-0.148039,-0.814516,8535
108,164221765,,,Inactive,,,,CBX4,SI00054264,0.740477,0.635079,1.48989,-0.204511,8535
109,164221766,,,Active,,,,CBX5,SI04310978,-2.2661,1.97497,-0.88301,1.60362,23468
110,164221767,,,Inactive,,,,CBX5,SI03146479,0.0407954,2.59599,-0.731928,2.75531,23468
111,164221768,,,Inactive,,,,CBX6,SI00339199,-0.588412,-1.49634,-1.68091,0.178361,23466
112,164221769,,,Inactive,,,,CBX6,SI04207119,-0.0905557,2.64337,0.529132,0.246301,23466
113,164221770,,,Active,,,,CBX7,SI03128489,-0.514059,-1.79487,-6.5811,-1.41811,23492
114,164221771,,,Active,,,,CBX7,SI03189137,-0.0436453,3.66321,-2.04444,-0.39804,23492
115,164221772,,,Active,,,,CBX8,SI00339255,-2.74351,-4.04001,-1.25853,-2.32329,57332
116,164221773,,,Inactive,,,,CBX8,SI00339262,2.63196,-0.514362,-0.32488,0.294607,57332
