modeling_row,structure_id,standard_inchi_key,smiles,herg_blocker_label,endpoints,assay_families,document_year,document_years,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
2184,STR-C9C5306DAE5F7F0FE3CA,NHAVPZBYCXDYLA-UHFFFAOYSA-N,Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)N(C)C)C2,1,IC50,electrophysiology_functional,2022.0,2022.0,STR-C9C5306DAE5F7F0FE3CA,c1ccc(-c2nocc2COc2ccc3c(n2)CCNC3)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
2185,STR-C9C9383ECC075784BE28,JOWZBTCWJHFAQE-UHFFFAOYSA-N,CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)cnc32)cs1,1,IC50,electrophysiology_functional,2021.0,2021.0,STR-C9C9383ECC075784BE28,c1ccc(Nc2cnc3c(cnn3-c3ccsc3)c2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2186,STR-C9EE9B8917AEC885170D,IHRSQJRNOSBSMC-UHFFFAOYSA-N,C[S+]([O-])c1ccc(-c2cnc3ccc(Nc4cccc(S(C)(=O)=O)c4)nn23)cc1,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-C9EE9B8917AEC885170D,c1ccc(Nc2ccc3ncc(-c4ccccc4)n3n2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2187,STR-C9F5301A516FD0257F69,OADSPXVLXSDLFJ-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)c1c[nH]c2c(C3CCN(CCCc4c[nH]c5ccc(F)cc45)CC3)cccc12,1,IC50,electrophysiology_functional,2024.0,2024.0,STR-C9F5301A516FD0257F69,O=S(=O)(c1ccccc1)c1c[nH]c2c(C3CCN(CCCc4c[nH]c5ccccc45)CC3)cccc12,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2188,STR-CA0377563348D32CCED3,IBTNQJYKQQGHQP-UHFFFAOYSA-N,Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCN(C(=O)C(C)(C)CO)CC1,1,IC50,electrophysiology_functional,2011.0,2011.0,STR-CA0377563348D32CCED3,c1ccc(C2(CCN3C4CCC3CC(n3cnc5ccccc53)C4)CCNCC2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
2189,STR-CA3F79334749E6945A15,FFJCXUYEZJYVKZ-UHFFFAOYSA-N,Cc1nsc(-c2ncc3n2CCN(C(=O)c2ccc(-c4ccc[nH]4)cc2)C3C)n1,1,IC50,electrophysiology_functional,2023.0,2023.0,STR-CA3F79334749E6945A15,O=C(c1ccc(-c2ccc[nH]2)cc1)N1CCn2c(cnc2-c2ncns2)C1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2190,STR-CA40665F9343F3E77349,VCOUEHUEFUDZIS-PMACEKPBSA-N,N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CC1,1,IC50,electrophysiology_functional,2006.0,2006.0,STR-CA40665F9343F3E77349,O=C(CC1CC1)N1CC(c2ccccc2)=CC1c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2191,STR-CA518A4A1AD9C6271227,OAIHSWLLDNASTO-UHFFFAOYSA-N,Cc1nc(-c2ccc(F)cc2)nc(OCCCN2CCCCC2)c1Cl,1,IC50,electrophysiology_functional,2014.0,2014.0,STR-CA518A4A1AD9C6271227,c1ccc(-c2nccc(OCCCN3CCCCC3)n2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2192,STR-CA537EE3AD6D5333202B,MULJMOFCKZZSRK-MYYSRTQBSA-N,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(OC3CN(CCCF)C3)cn2)N1CC(F)F,1,IC50,electrophysiology_functional,2020.0,2020.0,STR-CA537EE3AD6D5333202B,c1cc(C2NCCc3c2ccc2[nH]ncc32)ncc1OC1CNC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2193,STR-CA5884155D0B71BAC9DC,FMNHTBXXYZCSCU-UHFFFAOYSA-N,Clc1ccc(OC(c2ccc3ccccc3c2)C2CNC2)cc1Cl,1,IC50,electrophysiology_functional,2012.0,2012.0,STR-CA5884155D0B71BAC9DC,c1ccc(OC(c2ccc3ccccc3c2)C2CNC2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
