evidence_domain,endpoint,canonical_unit,sampled_numeric_rows,min,p01,median,p99,max,sampling_note
pk_adme,A,%,1,2.1,2.1,2.1,2.1,2.1,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AC50,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AC50,nM,1,50000.0,50000.0,50000.0,50000.0,50000.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,%,62,-10950.0,-9071.2,32.8,1288.9700000000016,3133.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,%.hr,2,50.3,50.699999999999996,70.3,89.89999999999999,90.3,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,%id/g/hr,24,6.1,7.526,136.15,1706.1200000000001,1737.4,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,(umol/l).min,2,454.0,459.66,737.0,1014.34,1020.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,/hr,5,3.0,3.88,42.0,84.8,86.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,0-24hr,8,996.0,1037.09,2676.0,14762.299999999997,15400.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,0-infinity,2,828.0,872.12,3034.0,5195.88,5240.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,0-tidc,2,525.0,567.39,2644.5,4721.61,4764.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,0-tldc,1,61.37,61.37,61.37,61.37,61.37,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,10^4nm.min,4,0.4,0.445,2.8,13.884999999999996,14.2,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,10^6nm,1,2.0,2.0,2.0,2.0,2.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,au.min,22,150.0,150.0,540.0,1179.0,1200.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,cm2,7,349.0,349.06,355.0,373.76,374.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,fmol,4,0.85,15.8845,564.5,11545.319999999998,11883.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,g.hr,10,6.3,6.633,48.45,480.11300000000006,510.2,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,g/hr,3,21.86,32.105599999999995,534.14,1113.1142,1124.93,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,h,21,0.0,0.0,6.9,699.0000000000001,727.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,h.fmol/millioncells,12,688.0,691.41,930.5,1832.52,1851.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr.%id/ml,4,3.1,3.367,14.5,26.699999999999996,27.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr.fmol,3,1.32,1.32,1.32,1030.0064,1051.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr.kg.ng/ml/mg,5,1795.0,1865.92,4110.0,7427.6,7526.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr.ng/g,116,1.26,8.403,661.85,672219.149999998,1650000.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr.ng/l,4,30.1,32.5411,448.935,75794.54059999998,78114.38,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr.nmol/g,1,0.092,0.092,0.092,0.092,0.092,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr.nmol/ml,4,0.15,0.2556,3.8200000000000003,14.087099999999998,14.4,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr.sec,12,5.4,5.4,11.65,42.456,42.5,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr.ug/g,2,4.0,4.091,8.55,13.009,13.1,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr/l.kg,4,4.64,4.7996,10.075,11.237599999999999,11.27,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr/ml,13,898.0,997.5208,4693.0,22741.56,22764.75,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr/ng.ml,2,353.02,374.12739999999997,1408.39,2442.6526000000003,2463.76,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,hr/ug/ml,8,24.64,24.9319,73.06,123.04069999999999,123.88,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,l/hr.kg,1,5900.0,5900.0,5900.0,5900.0,5900.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,l/hr/kg,2,2581.0,2753.19,11190.5,19627.81,19800.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mM,3,614.0,614.56,642.0,785.08,788.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mg.hr,1,1200.0,1200.0,1200.0,1200.0,1200.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mg.hr/kg,3,4.1,4.1,4.1,24.778,25.2,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mg/dl,19,125.5,129.55,232.0,36283.94,36683.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mg/dl.hr,3,644.0,654.34,1161.0,1210.98,1212.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mg/l,4,0.007,0.30079,88.15,566.6249999999999,579.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mghr-1kg-1,20,3.0,3.19,17.5,167.82999999999996,176.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mgkg-1,14,0.01,0.0126,1.15,5700.44,5793.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mgml-1,2,0.34,0.34,0.34,0.34,0.34,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,microg.hr/ml.g,4,216.0,217.5,282.0,379.47999999999996,382.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,microm.hr'2,2,464.0,465.22,525.0,584.78,586.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,microm.hr.kg/umol,3,0.07,0.07880000000000001,0.51,0.5492,0.55,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,microm.hr/mg/kg,54,0.0,0.00265,0.22,22.101999999999993,25.6,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,microm/hr/mg,7,0.04,0.09759999999999999,2.1,68.96599999999998,71.6,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,microm/l.hr,11,1.34,1.368,9.27,54.258,54.65,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,microm/mg/kg,3,0.62,0.623,0.77,2.2497999999999996,2.28,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,micromol.hr/l/mg/kg,9,0.039,0.04868,0.43,3.4368,3.5,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,min,7,128.0,128.36,192.0,232.88,233.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,min.g.nm/mg,18,340.0,377.4,4050.0,32809.999999999985,34000.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,min.ng/g,1,399.0,399.0,399.0,399.0,399.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,min.sec,5,114.9,116.7,267.7,383.468,384.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ml/min.kg,7,0.4,0.41140000000000004,1.8,50.06119999999998,53.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mm.min,7,722.87,764.7578,2056.0,3503.4799999999996,3569.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mmhg,2,460.0,489.4,1930.0,3370.6,3400.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mmhg.day,2,248.8,251.81400000000002,399.5,547.186,550.2,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mmhg.hr,11,-606.0,-603.5,75.2,2601.0,2658.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mmhghr-1,19,0.0,0.0,109.0,202.1,203.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,mumindl-1,2,30.0,30.08,34.0,37.92,38.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,nM,33,0.0,0.32,1165.0,6931.679999999999,7932.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng,3,372.0,372.56,400.0,3037.18,3091.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng*h/mL,40531,0.0,1.0,2187.44,3395491.3259999943,16541000000000.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.eq.h.ml-1,6,120.0,127.15,476.0,1489.7500000000002,1533.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.eq/ml,1,3658.0,3658.0,3658.0,3658.0,3658.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.h-1.ml-1,1,9434.0,9434.0,9434.0,9434.0,9434.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.hr,4,3150.0,3241.98,6514.5,23482.449999999997,23998.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.hr.kg/mg/ml,35,0.0,0.34,93.0,5174.199999999982,7000.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.hr.kg/ml/mg,6,678.0,701.8,3371.0,19164.2,19675.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.hr/g,184,0.0,5.8100000000000005,3303.5,172479.9999999982,758393.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.hr/kg,37,20.9,23.456,1339.0,24382.0,24400.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.hr/ml/mg,11,6.51,6.736,301.0,830.7,853.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.hr/ml/mg/kg,42,0.0,4.838000000000001,153.2,4251.0809999999865,5745.9,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng.min/g,9,94.0,101.12,1142.0,30720.628,31091.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng/10^6cells×hr,3,38.6,39.084,62.8,88.182,88.7,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng/g,3,816.0,881.52,4092.0,8225.64,8310.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng/g.hr,75,0.0,3.6504199999999996,275.21,52197.12000000042,112849.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng/l,1,36.0,36.0,36.0,36.0,36.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng/mL,43,0.0,0.0,658.1,1975492.2869999968,2810197.62,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ng/ml.kg,4,912.0,918.42,1759.0,3253.3599999999997,3280.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ngequiv.hr/g,11,297.0,298.2,3470.0,190400.00000000003,200000.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,nghrg-1,1,19.31,19.31,19.31,19.31,19.31,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ngmin,2,873922.0,882713.53,1313498.5,1744283.47,1753075.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ngml-1,4,48.0,50.67,2539.5,12758.259999999998,13000.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,AUC,ngmlkg-1,1,21265.0,21265.0,21265.0,21265.0,21265.0,exact when group <=200000; deterministic first-200000 otherwise
