structure_id,standard_inchi_key,smiles,compound_ids,endpoint,assay_family,p_activity_median,value_nm_median,n_measurements,sources,activity_range_log10
STR-4F1EEBE285BDFD4F35AF,AZMLEISFRDLXOA-UHFFFAOYSA-N,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CN(C5CCC5)Cc5ccccc54)CC3)C2)cc1,CHEMBL4522767,Ki,biochemical_binding,8.698970004336019,2.0,1,BindingDB;ChEMBL,0.0
STR-4F1EEBE285BDFD4F35AF,AZMLEISFRDLXOA-UHFFFAOYSA-N,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CN(C5CCC5)Cc5ccccc54)CC3)C2)cc1,132104363,Ki,cellular_functional,8.698970004336019,2.0,1,PubChem,0.0
STR-5809FBCCA5EEA2161D90,HKERAIYWULHZDL-RUSQAUJYSA-N,C=CC(=O)Nc1cccc(S(=O)(=O)c2ccc(N3CC(F)(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)c1,CHEMBL5983807,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL;PubChem,0.0
STR-5809FBCCA5EEA2161D90,HKERAIYWULHZDL-RUSQAUJYSA-N,C=CC(=O)Nc1cccc(S(=O)(=O)c2ccc(N3CC(F)(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)c1,506341,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-72BC2AEC0C9B5FB0C4A6,NWSQYPVQEHIJSZ-YFTHYISFSA-N,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](CN5CCC5)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,CHEMBL4553102,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL,0.0
STR-72BC2AEC0C9B5FB0C4A6,NWSQYPVQEHIJSZ-YFTHYISFSA-N,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](CN5CCC5)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,50511902,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-73526DEBB89B97E16E0E,FYTWPDGQAHYEIH-YGZSATHDSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCC5)C4)cc3)C2)CC1,CHEMBL4456003,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL,0.0
STR-73526DEBB89B97E16E0E,FYTWPDGQAHYEIH-YGZSATHDSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCC5)C4)cc3)C2)CC1,50511908,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-7A321275AB46AC4BC765,ZBOGYQTVZTVLMN-XRBIJUOGSA-N,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(F)(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,CHEMBL5766765,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL;PubChem,0.0
STR-7A321275AB46AC4BC765,ZBOGYQTVZTVLMN-XRBIJUOGSA-N,C=CC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(F)(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)C1,506346,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-AA4D58E6580A56C280AF,HIKNZTWSCQIGRD-UHFFFAOYSA-N,CN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,CHEMBL4516680,Ki,biochemical_binding,8.698970004336019,2.0,1,BindingDB;ChEMBL,0.0
STR-AA4D58E6580A56C280AF,HIKNZTWSCQIGRD-UHFFFAOYSA-N,CN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5ccncc5)cc4)C3)CC2)C1,145397301,Ki,cellular_functional,8.698970004336019,2.0,1,PubChem,0.0
STR-C0C912780560E33EFE90,LDZSXMDCTIKQIQ-KQAQRFHNSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,CHEMBL4571451,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL,0.0
STR-C0C912780560E33EFE90,LDZSXMDCTIKQIQ-KQAQRFHNSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,50511912,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-C6C7319A2332D2316F26,HMBDDYNLCGJMBR-JPWMAOOBSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)C5)C4)cc3)C2)CC1,CHEMBL4456868,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL,0.0
STR-C6C7319A2332D2316F26,HMBDDYNLCGJMBR-JPWMAOOBSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)C5)C4)cc3)C2)CC1,50511898,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-D4B228AA42C515EFF74F,NEYHMGVJGXSGLB-YFTHYISFSA-N,C=CC(=O)Nc1cccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)c1,CHEMBL5884894,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL;PubChem,0.0
