dataset,field,rows,missing_rows,present_rows,missing_fraction
observations,lower_bound,3938372,361064,3577308,0.091678490503182539
observations,molecule_id,3938372,0,3938372,0
observations,observation_id,3938372,0,3938372,0
observations,observation_kind,3938372,0,3938372,0
observations,original_unit,3938372,123028,3815344,0.03123828830796075
observations,p_activity,3938372,832364,3106008,0.21134722672210751
observations,p_activity_relation,3938372,0,3938372,0
observations,potential_leakage,3938372,0,3938372,0
observations,protein_id,3938372,0,3938372,0
observations,quality_grade,3938372,0,3938372,0
observations,raw_file_ids,3938372,0,3938372,0
observations,relation,3938372,0,3938372,0
observations,result_status,3938372,0,3938372,0
observations,snapshot_id,3938372,0,3938372,0
observations,source_id,3938372,0,3938372,0
observations,source_record_id,3938372,0,3938372,0
observations,unit_conversion_status,3938372,0,3938372,0
observations,upper_bound,3938372,837492,3100880,0.21264928757364718
observations,value_numeric,3938372,98380,3839992,0.024979864776613282
observations,value_provenance,3938372,0,3938372,0
observations,value_raw,3938372,156642,3781730,0.039773287033322398
proteins,canonical_target_id,9411,0,9411,0
proteins,component_protein_ids,9411,548,8863,0.05822973116565721
proteins,entity_type,9411,0,9411,0
proteins,gene_symbol,9411,9411,0,1
proteins,identity_resolution_status,9411,0,9411,0
proteins,isoform,9411,9411,0,1
proteins,protein_id,9411,0,9411,0
proteins,sequence,9411,397,9014,0.042184677505047286
proteins,sequence_sha256,9411,397,9014,0.042184677505047286
proteins,species,9411,22,9389,0.0023376899373074062
proteins,target_name,9411,0,9411,0
proteins,uniprot_accession,9411,306,9105,0.032515141855275743
task_exclusions/default,assay_id,54,0,54,0
task_exclusions/default,canonical_target_id,54,0,54,0
task_exclusions/default,missing_protein_sequence,54,0,54,0
task_exclusions/default,missing_standard_inchi_key,54,0,54,0
task_exclusions/default,missing_standardized_smiles,54,0,54,0
task_exclusions/default,model_readiness_exclusion_reason,54,0,54,0
task_exclusions/default,molecule_id,54,0,54,0
task_exclusions/default,observation_id,54,0,54,0
