dataset,dimension,value,rows
observations,unit,hr.sec,12
observations,unit,hr.ug/g,4
observations,unit,hr/l.kg,4
observations,unit,hr/l/kg,2
observations,unit,hr/ml,13
observations,unit,hr/ng.ml,2
observations,unit,hr/ug/ml,8
observations,unit,iu/l,31
observations,unit,kcal/mol,67848
observations,unit,kg,2
observations,unit,kg-1,9
observations,unit,kg-1hr-1,1
observations,unit,kg/l,4
observations,unit,l,390
observations,unit,l(minmg)-1,2
observations,unit,l.h-1,2
observations,unit,l.h/kg,2
observations,unit,l/1.73m2,2
observations,unit,l/h,1
observations,unit,l/hr,532
observations,unit,l/hr.kg,2
observations,unit,l/hr/1.73m2,4
observations,unit,l/hr/kg,25
observations,unit,l/hr/m2,3
observations,unit,l/hr/mg,2
observations,unit,l/kg.hr,47
observations,unit,l/kg/min,2
observations,unit,l/m2,5
observations,unit,l/min,228
observations,unit,l/min/mg,20
observations,unit,l/min/umol,9
observations,unit,lhr-1,1
observations,unit,lhr-1kg-1,1
observations,unit,lkg-1,2
observations,unit,ll/min/million,1
observations,unit,mL/min/kg,48254
observations,unit,mM,38
observations,unit,mcg/ml,5
observations,unit,meq/l,4773
observations,unit,mg,41
observations,unit,mg.hr,1
observations,unit,mg.hr/kg,3
observations,unit,mg.kg-1,399
observations,unit,mg/dl,19
observations,unit,mg/dl.hr,3
observations,unit,mg/g,29
observations,unit,mg/hr/kg,1
observations,unit,mg/kg/hr,1
observations,unit,mg/kg/microm.hrs,1
observations,unit,mg/kg/min,5
observations,unit,mg/l,14
observations,unit,mg/min/g,5
observations,unit,mg/min/kg,7
observations,unit,mg/min/microl,15
observations,unit,mg/min/ml,16
observations,unit,mg/ml,6
observations,unit,mg/ml/g,4
observations,unit,mg/ml/kg,12
observations,unit,mg/ng/ml,3
observations,unit,mg/ng/ml/hr,4
observations,unit,mg/ul,5
observations,unit,mghr-1kg-1,20
observations,unit,mgkg-1,199
observations,unit,mgmin-1kg-1,7
observations,unit,mgml-1,24
observations,unit,mgml-1kg-1,14
observations,unit,microg.hr/ml,4
observations,unit,microg.hr/ml.g,4
observations,unit,microg.min/ml,1
observations,unit,microg/cm2,5
observations,unit,microg/cm2/h,8
observations,unit,microg/cm3,1
observations,unit,microg/hr/ml,5
observations,unit,microg/min/ml,2
observations,unit,microl/min/g,28
observations,unit,microl/min/mg,980
observations,unit,microl/ml/min,9
observations,unit,microm.hr,2
observations,unit,microm.hr'2,2
observations,unit,microm.hr.kg/umol,3
observations,unit,microm.hr/mg/kg,54
observations,unit,microm/hr/mg,7
observations,unit,microm/l.hr,11
observations,unit,microm/mg/kg,3
observations,unit,microm/min,27
observations,unit,microm/min/mg,46
observations,unit,microm/s,23
observations,unit,micromol.hr/l/mg/kg,10
observations,unit,micromol/min,17
observations,unit,microsec,1
observations,unit,min,713
observations,unit,min-1,21
observations,unit,min.g.nm/mg,18
observations,unit,min.kg/l,4
observations,unit,min.ng/g,16
observations,unit,min.sec,5
observations,unit,min.ug/ml,1
observations,unit,min/ml,4
observations,unit,min/ml/kg,71
observations,unit,ml,92
observations,unit,ml.kg/min,13
observations,unit,ml.min,1
observations,unit,ml.min-1,4
observations,unit,ml.min-1.g-1,28834
observations,unit,ml.min/g,26
observations,unit,ml.min/kg,47
observations,unit,ml/(min.mg),11
observations,unit,ml/cm3,31
observations,unit,ml/hr,132
observations,unit,ml/hr.kg,6
observations,unit,ml/hr/kg,1
observations,unit,ml/hr/mg,6
observations,unit,ml/kg,12
observations,unit,ml/kg.hr,15
observations,unit,ml/kg.min,34
observations,unit,ml/mg,3
observations,unit,ml/mg/kg,59
observations,unit,ml/min,1776
observations,unit,ml/min.g,388
observations,unit,ml/min.kg,384
observations,unit,ml/min.mg,5
observations,unit,ml/min.umol,2
observations,unit,ml/min/1.73m2,1
observations,unit,ml/min/10^6cells,1
observations,unit,ml/min/g,36
observations,unit,ml/min/hr,4
observations,unit,ml/min/m2,16
observations,unit,ml/min/mg,67
observations,unit,ml/min/nmol,6
observations,unit,ml/mm/kg,5
observations,unit,ml/umol/min,1
observations,unit,mlhr-1,1
observations,unit,mlkg-1,5
observations,unit,mlmg-1kg-1,5
observations,unit,mlmin-1,13
observations,unit,mlmin-1kg-1,3
