connectivity_key,connectivity_group_size,structure_id,standard_inchi_key,standardized_smiles,p_activity_median,series_id,sources,compound_ids
XOMQNBYRAKVRPP,4,STR-1E3B65B659C49B92801F,XOMQNBYRAKVRPP-BDYUSTAISA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@H](O)CN(C)CCOC)C(C)C)C2)C(C)C,5.377785977033705,SER-F7B9115420359440,PubChem,156531586
XOMQNBYRAKVRPP,4,STR-D2049436E0A3A1A3ABCB,XOMQNBYRAKVRPP-VPUSJEBWSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@@H](O)CN(C)CCOC)C(C)C)C2)C(C)C,5.1095789811990855,SER-F7B9115420359440,PubChem,156531619
AUWUGRCKTQSGJY,3,STR-C21882423633547B198F,AUWUGRCKTQSGJY-HHHXNRCGSA-N,N#Cc1ccc(OCCCN2CCC([C@@](N)(c3ccccc3)C3CCCC3)CC2)cc1,7.251811972993799,SER-317158EDAD8598EE,ChEMBL,CHEMBL3126198
AUWUGRCKTQSGJY,3,STR-7F50B57FFABE6350EAF5,AUWUGRCKTQSGJY-MHZLTWQESA-N,N#Cc1ccc(OCCCN2CCC([C@](N)(c3ccccc3)C3CCCC3)CC2)cc1,7.0915149811213505,SER-317158EDAD8598EE,ChEMBL,CHEMBL3126197
AUWUGRCKTQSGJY,3,STR-2427F8EACDBEB2183A48,AUWUGRCKTQSGJY-UHFFFAOYSA-N,N#Cc1ccc(OCCCN2CCC(C(N)(c3ccccc3)C3CCCC3)CC2)cc1,6.95337673444808,SER-317158EDAD8598EE,ChEMBL,CHEMBL3126196
FFGIAMNWBZNVQQ,3,STR-607EE12240E722EC08AE,FFGIAMNWBZNVQQ-RWSKJCERSA-N,CC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,6.991399828238082,SER-FBD8412D03D2F209,ChEMBL,CHEMBL4565646
FFGIAMNWBZNVQQ,3,STR-852CFBD6CFCE9E722768,FFGIAMNWBZNVQQ-XPZBDPFPSA-N,CC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,6.991399828238082,SER-FBD8412D03D2F209,ChEMBL;PubChem,CHEMBL5819018
FFGIAMNWBZNVQQ,3,STR-6CA56A9373037E1AABA1,FFGIAMNWBZNVQQ-KCUXUGRMSA-N,CC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,5.6020599913279625,SER-FBD8412D03D2F209,ChEMBL;PubChem,CHEMBL5891588
IFIHGWNVFQFWAX,3,STR-5151BA76FE38FE2C9C70,IFIHGWNVFQFWAX-BNGNXUGRSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)CC(C)C(=O)N(C)C)C(C)C)C2)C(C)C,7.102372908709558,SER-F7B9115420359440,PubChem,156498049
IFIHGWNVFQFWAX,3,STR-96042A1C627CE2CBBC1F,IFIHGWNVFQFWAX-LITSAYRRSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C[C@H](C)C(=O)N(C)C)C(C)C)C2)C(C)C,6.657577319177793,SER-F7B9115420359440,PubChem,156531821
IFIHGWNVFQFWAX,3,STR-079F3F9421D0EFF32E86,IFIHGWNVFQFWAX-GGXMVOPNSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCN(C)C[C@@H](C)C(=O)N(C)C)C(C)C)C2)C(C)C,6.366531544420413,SER-F7B9115420359440,PubChem,156531819
JTUOGOXWKQAKOR,3,STR-BAFF2FF7D3D8F1D2F783,JTUOGOXWKQAKOR-NRFANRHFSA-N,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2C[C@@H]1CNC(=O)CO1,8.443697499232712,SER-E8FAB356E73C31D0,ChEMBL,CHEMBL4216801
JTUOGOXWKQAKOR,3,STR-FB32B5E0FE59CE4699E6,JTUOGOXWKQAKOR-UHFFFAOYSA-N,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CC1CNC(=O)CO1,8.1249387366083,SER-E8FAB356E73C31D0,ChEMBL,CHEMBL4218724
JTUOGOXWKQAKOR,3,STR-E7EA8D7931BFDDAB9B7B,JTUOGOXWKQAKOR-OAQYLSRUSA-N,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2C[C@H]1CNC(=O)CO1,6.910094888560602,SER-E8FAB356E73C31D0,ChEMBL,CHEMBL4210580
MMASTHCMDVBHKI,3,STR-93357EA1BA889F037426,MMASTHCMDVBHKI-HHHXNRCGSA-N,CC(C)[C@@H](CCCN(C)C)N1CC2(CCN(c3ccnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,6.6777807052660805,SER-725533906D2EDF46,PubChem,168720868
MMASTHCMDVBHKI,3,STR-C07EE6A6B313BC7131B8,MMASTHCMDVBHKI-UHFFFAOYSA-N,CC(C)C(CCCN(C)C)N1CC2(CCN(c3ccnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,6.292429823902063,SER-725533906D2EDF46,PubChem,156531587
