structure_id,series_id,similarity_cluster_id,similarity_cluster_size,similarity_cluster_representative
STR-3EEB6D80F661CEA479BE,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-3F04DD1A59C14A2DDA4B,SER-137AC4BCC80F0771,CLU-E4738536F17D0465,3,STR-6A535B2D5967814ADC06
STR-3F32DD5F6BE1258722C6,SER-42BAE6DB7A4F0675,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-3F81C43E4EB08BB5803F,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-3FB33B6320D7624C2E9C,SER-647213101879D186,CLU-05771A03FDE37CAB,14,STR-142DC3F04BDF2ABC0F0A
STR-404CEFB796E101ECF803,SER-0A8207C373DE3400,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-40A2759B420CC95C7ED1,SER-647213101879D186,CLU-05771A03FDE37CAB,14,STR-142DC3F04BDF2ABC0F0A
STR-40B1021373C595DF25D7,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-40E0E7043CC563C31D2B,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-40FF751350DD414E6552,SER-317158EDAD8598EE,CLU-03EE11DC352D7C71,2,STR-40FF751350DD414E6552
STR-428061115D2191372CAC,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-42FABA990848887F9FDB,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-4342C90FE7E456F909D0,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-435B0469D981B3FB0F4C,SER-7A71BD39A789D797,CLU-DFDE0EB637DE6F53,6,STR-8D22035F518E37FF47A2
STR-43E0D8D9D40EE11F8225,SER-9ECF8616A0B4413B,CLU-8E15A65AEDE92141,1,STR-43E0D8D9D40EE11F8225
STR-44D7373FA75606A9FAF6,SER-6F3389DAFB00746E,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-44F56F5A5BFB18B77986,SER-BF392468AE9FDA19,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-452401AF18DD4279C7FE,SER-CB21B8EBB5EA0000,CLU-7D6DED4FAD25C7A0,1,STR-452401AF18DD4279C7FE
STR-458F60594CF32D1C3B3A,SER-726F16AD19A1FFEA,CLU-EE35BC9038C2FF43,10,STR-ADD6623F7AD60FDD956E
STR-45F69269A2FAE7DAA4C0,SER-788354EC2A8EE709,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-460559F541337721ECE0,SER-65A4A46A71CC7010,CLU-7A8A235A94FBDBB3,2,STR-460559F541337721ECE0
STR-46101F1AC5781BDFFC2C,SER-5E7D688CCCDE322E,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-461FB7619E9127A87F14,SER-5E7D688CCCDE322E,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-466A031256A2621A45EE,SER-6121557472B21AF1,CLU-00AA5A3F037E4BCF,1,STR-466A031256A2621A45EE
STR-469219CCEE1D20BDAA81,SER-8207B72B2003740B,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-4699291DA7C1B49340A3,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-4710DC80E0B9C6B4C724,SER-6405F81075E095E8,CLU-F344A50FEA6F3E90,5,STR-E64E90F663FA85F37778
STR-4719AA5EBF6B16DABB7E,SER-D71DF828C6360796,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-47846D608185053052FC,SER-DEB9103ECAF50D36,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-478CD9F8B251C1F54424,SER-B92687DE56E5CCCB,CLU-AF9A7727B04E32F9,9,STR-A50D555FBD2E6BE12E86
STR-479A1AD4514C662AB87A,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-4866DF3FD3D34FBFE093,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-489F6A3FCA46D9527C55,SER-301D4A6F7EE2973B,CLU-426D02ED5BFF1983,10,STR-BD3C32C55755152AB6D1
STR-4942B912C9C5FBB61901,SER-6F3389DAFB00746E,CLU-647E633103D7CD1C,2,STR-0449028356C19D0EDA3B
STR-4963BC6466091AE476AA,SER-55C30A42270C6AFB,CLU-AF9A7727B04E32F9,9,STR-A50D555FBD2E6BE12E86
STR-49EE11A98D32940D40F8,SER-42BAE6DB7A4F0675,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-49FE1FCFAE0956BB85D0,SER-2A92C2964EFB3335,CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6
STR-4A902F7AC5A334C3F331,SER-6F3389DAFB00746E,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-4ACD6DB0066464DC0230,SER-005CD446B5ADDEDA,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-4B176E4EC0D4BE59BE40,SER-D785BDA4B03B0F18,CLU-2F8A7678DF10D71A,1,STR-4B176E4EC0D4BE59BE40
STR-4B2666E7A6862E420991,SER-42BAE6DB7A4F0675,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-4B497AB49DA0E85C14C0,SER-CC88F90DA4227386,CLU-D05EB6AB0B00E296,13,STR-072FE59E687806FA7B3E
STR-4B7E6200574F432256B4,SER-ED3C31EF2B45067D,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-4C0B23EB03D4979A79B0,SER-6F3389DAFB00746E,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-4C19F00ABA775539C82E,SER-49213A9E7B5F44C3,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-4C43BCDB33EE423B9ECC,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-4D89EA9F20765D09F97C,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-4DD88D5839EF83BB667C,SER-0CFBA55DF63719F3,CLU-B67275E4621D323B,8,STR-4DD88D5839EF83BB667C
STR-4E0D965820718397652B,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-4E85A23F835ECEAE6207,SER-FE76DD096D59B3A3,CLU-CC925F5BD35808AB,1,STR-4E85A23F835ECEAE6207
STR-4EBA07B20CCDE9D2E322,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-4ED5D5CE4BFD95B4D0C2,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-4ED81823DA53AF1D70A0,SER-AABF4AB999A5F725,CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6
STR-4F1EEBE285BDFD4F35AF,SER-A1500FECB3F8EB00,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-4F507812C726BEF9FE1F,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-4F74C84E1F856F025432,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-4F7AB474CDF6E554BFA4,SER-8B11BACADDC8B4B4,CLU-426D02ED5BFF1983,10,STR-BD3C32C55755152AB6D1
STR-4FD9E5C0590E883535A1,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-50194E6CF0AF9E3900D0,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-506A8FF202D4B27FF220,SER-C460737DCACEC827,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-514E377E1ED7B27533EB,SER-0CFBA55DF63719F3,CLU-B67275E4621D323B,8,STR-4DD88D5839EF83BB667C
STR-5151BA76FE38FE2C9C70,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-52142363ACB32B4956F1,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-5255CAA0D8BB98E85D76,SER-B2CC19ACB9A1FA33,CLU-62E220E638ADAA86,1,STR-5255CAA0D8BB98E85D76
STR-5292CC2045CB1C1E8EBD,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-52D01EFC583EB20C9B2A,SER-0DFA274B18A1E5F7,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-5324B66A4DD700AAE4E7,SER-BD823B8B64B84571,CLU-A59C2BC6789F5C40,1,STR-5324B66A4DD700AAE4E7
STR-5368CF10D83D68530041,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-53AEACA9E792A76EA570,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-5470E2C155BCDC752B33,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-5472A1D1C6965F08A7DA,SER-57237C691D760FE1,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-547D0767F033066A0D80,SER-FB0AFC12D8D97E32,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-54ED728D29C775C2EEED,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-54F1327250956FC1E73B,SER-60DE72E68A5873A2,CLU-E9D610E8E8F38FE9,2,STR-54F1327250956FC1E73B
STR-551B85BEC657362DBF0B,SER-BA912CD03DBF5CE2,CLU-1284A034F9E8F0E0,1,STR-551B85BEC657362DBF0B
STR-55608317294F39D42FCE,SER-0174A77D6587226B,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-55DFB8550CA6D0317DA0,SER-BF392468AE9FDA19,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-562B91EA5B528B52D63B,SER-20D80D54BBFFFEB3,CLU-4535641A19262E24,3,STR-562B91EA5B528B52D63B
STR-568E8A2EF6050316CA23,SER-BF392468AE9FDA19,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-56E19E91840D3A01B6A3,SER-C8E13902550B1B05,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-571CCDCD3D693D6D5618,SER-FBD8412D03D2F209,CLU-5FD0DDB00E1E9375,12,STR-8A96AEE3549DB26F33DD
STR-5757A82E1BB3E6BCC920,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-57B02C455F0090B0D259,SER-E274352199671F22,CLU-7544796D1BA53F3F,9,STR-57B02C455F0090B0D259
STR-5809FBCCA5EEA2161D90,SER-7D8EB39B423AE666,CLU-4C66778D7AF47B56,9,STR-D4B228AA42C515EFF74F
STR-593538869CBBD1EB1B7D,SER-20F67B855744F824,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-5A59AFF93EE296D36BC6,SER-E3EDE43B771018A5,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-5A6612853CA9F9DCEA91,SER-20F67B855744F824,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-5A6D9F61D6C13A688B6F,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-5B1180372851AE5365FB,SER-86D2DAA4664E7A6F,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-5B2781FAFA3F33CB6B32,SER-B25BA7CAA588774A,CLU-BF752C34538FDF3B,1,STR-5B2781FAFA3F33CB6B32
STR-5B65D30F2628A312D8CA,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-5C1522C845914F088582,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-5C740F62A4861DEC230E,SER-2C16C2D45BAC162E,CLU-D05EB6AB0B00E296,13,STR-072FE59E687806FA7B3E
STR-5D9D18A659624B9D4D9E,SER-7508F175795F25E8,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-5DB466958DBD29E03FB2,SER-A6C5905BE6BE7E4C,CLU-F6FF152D0F26B3C4,1,STR-5DB466958DBD29E03FB2
STR-5DF8CCEDDDC1429A6B58,SER-8B11BACADDC8B4B4,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-5E430B1B17CD1D28B026,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-5F1ACBF53225066503F2,SER-058672055642A157,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-5F462E9C39E6988CE487,SER-234F328ED82F6C63,CLU-7D4ABAB1699D63FA,2,STR-02403E375D780F15C68E
STR-5F49DD17C62232E08D24,SER-8B11BACADDC8B4B4,CLU-C70CEE3FF4575D02,1,STR-5F49DD17C62232E08D24
STR-5F5B8DC8F81109D4AC69,SER-04E956BAC48037A7,CLU-1CC594024D525E32,1,STR-5F5B8DC8F81109D4AC69
STR-604BE22F0CAC884F2D40,SER-AF2239CCBC264723,CLU-35CD57CECBD7D9B7,1,STR-604BE22F0CAC884F2D40
STR-607EE12240E722EC08AE,SER-FBD8412D03D2F209,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-60B002C5D9DEC34E0C3B,SER-731225BC7165DB8C,CLU-B1352AABBEDF7D98,1,STR-60B002C5D9DEC34E0C3B
STR-61922625495B0746B9C8,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-624DE6171936672A9284,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-625E175938C0BA620C7A,SER-D785BDA4B03B0F18,CLU-0536B048A2BBDAE8,1,STR-625E175938C0BA620C7A
STR-62B57AB9305786A0B7AA,SER-13C58FCF8A37F10D,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-62D85176F37CC4A95D7C,SER-789386810AA6A1B8,CLU-3F69D3AD245ADE81,12,STR-DA939D5F87D225304F92
STR-62EAA7BC9A8608AAD9F0,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-633580C0DD9263988A9F,SER-4C4BF83C9D3649D4,CLU-4ED31E617D622753,1,STR-633580C0DD9263988A9F
STR-636585A8759358E2930D,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-63835D190E39EDBFC923,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-63AC2E75E76C1C641161,SER-6130AFF64594955F,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-63C5105B1A94A77907F0,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-640F627423409BE4C4E0,SER-725533906D2EDF46,CLU-10B5C44B870D8261,2,STR-640F627423409BE4C4E0
STR-64416BC7F3D621D83B3A,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-64726CEBE1C119AD1032,SER-D71DF828C6360796,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-648FC2156F27220D48EE,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-65405A355B35D329B436,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-6549D4F285AE9D37C874,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-654C0D84C180E9D74576,SER-647213101879D186,CLU-D7D8CB9A550B55F0,6,STR-768449AFD0A1BD14A41D
STR-662212F484FA5C48F6BE,SER-40D4D2062FBD0048,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-682700030C1645FC8057,SER-D1BBC9CBF04A0DCB,CLU-CEF86B5E9A0835D2,1,STR-682700030C1645FC8057
STR-684B7A6ABD719561B71F,SER-BA912CD03DBF5CE2,CLU-F0117CB494DDBB30,6,STR-E2BF2500F662553F3983
STR-695C2B9D19FE30A6368D,SER-324E93418AE652BC,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-69B6B26B9F45D1509A0C,SER-FBD8412D03D2F209,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-6A535B2D5967814ADC06,SER-6405F81075E095E8,CLU-E4738536F17D0465,3,STR-6A535B2D5967814ADC06
STR-6ADE38C213CBA2CBB7F0,SER-AABF4AB999A5F725,CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6
STR-6B0BEC7CA952AA3F373C,SER-2BD9ED0A7165EEA0,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-6B28BBE0B01A6E185ED9,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-6B610F98DBC51ED4955E,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-6B969286E24A749E8280,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-6BB8114D41C4FAE5B067,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-6BBFA0A16AEB8910C337,SER-C9B33975FFE3F267,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-6BDEB3BA85482F5765AF,SER-AABF4AB999A5F725,CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6
STR-6C0290A40DE07CB70C53,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-6C29AB696561B060F66D,SER-ADCC0EE5F503DFED,CLU-5C1BBDED89109C22,3,STR-0BCBBE5537E8A8D227ED
STR-6C4B7845EEA627B51A73,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-6C6AF265A6F8A1F38DBC,SER-20F67B855744F824,CLU-61F35D95BA8C6101,1,STR-6C6AF265A6F8A1F38DBC
STR-6C7C81D23F5013B2B272,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-6C98F61E1E52A5856618,SER-7A71BD39A789D797,CLU-DFDE0EB637DE6F53,6,STR-8D22035F518E37FF47A2
STR-6CA56A9373037E1AABA1,SER-FBD8412D03D2F209,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-6CAE53F54456642C32C0,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-6D0825CC395144966D8D,SER-BC5376EB0E21B411,CLU-B7F1FA159A52FDA3,1,STR-6D0825CC395144966D8D
STR-6D12E542BA59225B503F,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-6D83836432314425AF74,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-6E87454FEE741EE39D57,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-6F0B243CDCAB8EEB6068,SER-4FDAE11105633273,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-6F1C926A5BCCC888A7D5,SER-FBD8412D03D2F209,CLU-5FD0DDB00E1E9375,12,STR-8A96AEE3549DB26F33DD
STR-6F61DD7B53632CC333BC,SER-6F3389DAFB00746E,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-6F8F59E84BD75C74A25C,SER-0A8207C373DE3400,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-6F92DD97001CC1334310,SER-42BAE6DB7A4F0675,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-6FE1A42FCCA9C735ED36,SER-20F67B855744F824,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-704625FB7455957A2AA3,SER-AEAE080E536FEC3F,CLU-762196069417AED2,3,STR-704625FB7455957A2AA3
STR-70C7272DAD1CFA014D53,SER-A61E4F29FD542291,CLU-460675747EBAD496,6,STR-B5D946FAC7CA35C5B953
STR-71838C80D2086E8D3D84,SER-806C773C2FB821E8,CLU-0EBD9A6BDEC61C5A,2,STR-71838C80D2086E8D3D84
STR-718AB1E455060CA519A1,SER-3ACA3B6164BA0656,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-71A064EE3032A8ED24DA,SER-81747BD53922F435,CLU-B49005D081AA392E,1,STR-71A064EE3032A8ED24DA
STR-71AB200EF619F4685513,SER-788354EC2A8EE709,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-71C6205ED0F8C1804176,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-72BC2AEC0C9B5FB0C4A6,SER-1425063A81B06E97,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-72BF5FE38870FA3B6280,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-72C550895A5820A4CDC3,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-731E86363BD706E32221,SER-2404647C1C55FD50,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-73526DEBB89B97E16E0E,SER-0A239C6149442B09,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-73C51163FC18BDBC72DE,SER-20F67B855744F824,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-73C772FB7948E1F95E72,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-73D39D8A425861DCE560,SER-57237C691D760FE1,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-73FF471D050BDA8F68BB,SER-884DA5577AEB13D6,CLU-EC7C8AAE2A8A7836,5,STR-949A51086BAD4A70A662
STR-7402DC1466D10A017571,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-74136B835F8782FF8CF4,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-74748864A5B42BEF5513,SER-20F67B855744F824,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-7490FDF2026E2906146B,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-74AB0C5D40C92C89D385,SER-FBD8412D03D2F209,CLU-5FD0DDB00E1E9375,12,STR-8A96AEE3549DB26F33DD
STR-74EC77156DDF050352F6,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-751B5DB988139837BDDA,SER-B2500259778B6233,CLU-6049A5BC02479A9A,2,STR-751B5DB988139837BDDA
STR-751E14E3FB418B1577CE,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-7574D071910577A50816,SER-55AD440984EF2C0C,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-75FB4472D88CB6D25B7C,SER-E5621C7084AB064E,CLU-3C95CFBE54C21666,2,STR-3ACD95779D752A7D6CB7
STR-768449AFD0A1BD14A41D,SER-647213101879D186,CLU-D7D8CB9A550B55F0,6,STR-768449AFD0A1BD14A41D
STR-76F421993337A53D2B7F,SER-0CFBA55DF63719F3,CLU-B67275E4621D323B,8,STR-4DD88D5839EF83BB667C
STR-771E4A4135C686845F23,SER-ABFDF114C3EFE0BB,CLU-4C66778D7AF47B56,9,STR-D4B228AA42C515EFF74F
STR-784BC5DAE6A780CB93EC,SER-8B57F71FA52F1E47,CLU-EC7C8AAE2A8A7836,5,STR-949A51086BAD4A70A662
STR-787A0E4100519807DE55,SER-86504AD6705B5267,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-78872E7698A00B065699,SER-78B3B74A306F5804,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-78D6D64DD53A6832B414,SER-C8E13902550B1B05,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-78E8321E984DFAA6EEF2,SER-FBD8412D03D2F209,CLU-087886DC96278E22,2,STR-16763AE4A1795B0B0B2B
STR-79AE077C5280C92A481E,SER-B92687DE56E5CCCB,CLU-AF9A7727B04E32F9,9,STR-A50D555FBD2E6BE12E86
STR-79D75B6A88F0457FA1C2,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-79F48E1A5DF36F1BBEBF,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-7A2E8FB7325B12C5539B,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-7A321275AB46AC4BC765,SER-01C7163C23A2198D,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-7A6579C0FCDE81940F28,SER-160C947A11E57479,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-7A884766D31A90BA2425,SER-4B82934EEB3B33FB,CLU-62CACF69B913D26E,1,STR-7A884766D31A90BA2425
STR-7AD026FDCE816FE46C2A,SER-67AB74DD685AD15D,CLU-11D54158112918E2,2,STR-27FF42BC0C71603EA440
STR-7AFC09FA5CCD1AD58837,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-7B1655073C306BE222B5,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-7B2CA21F382AEB3E3E3F,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-7B4D282245C89175BEA3,SER-0A8207C373DE3400,CLU-4C66778D7AF47B56,9,STR-D4B228AA42C515EFF74F
STR-7B5EB163620F94C0875D,SER-E323AAFC2D9E44FA,CLU-BF2D183C7D5B632F,1,STR-7B5EB163620F94C0875D
STR-7C604423619052A15AC8,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-7D0031746A963BBE8268,SER-BF392468AE9FDA19,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-7D5339DF90BF6BBC7650,SER-BF278505F68AD0A8,CLU-4B828C67B135A889,4,STR-FB00B532B01AA27CD41B
STR-7E1F0EE1EE4F776E8704,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
