series_id,scaffold_key,scaffold_method,series_size,structure_id,standardized_smiles,p_activity_median,sources,compound_ids,qed,mol_wt,logp,tpsa
SER-3F51CB276FFD432C,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1)c1cccnc1,bemis_murcko,1,STR-D32B5F55634E895AF4B1,CCN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5cccnc5)cc4)C3)CC2)C1,8.045757490560675,ChEMBL;PubChem,CHEMBL6062360,0.3159118703759911,598.8569999999999,6.026300000000007,56.75
SER-40D4D2062FBD0048,c1ccc(Oc2nncnc2N2CC3(CCNC3)C2)cc1,bemis_murcko,1,STR-662212F484FA5C48F6BE,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CC2(CCN(C(CCCN(C)CCOC)C(C)C)C2)C1)C(C)C,6.585026652029182,PubChem,156531810,0.29226578537827946,599.7960000000003,4.5686000000000035,87.16
SER-42E6662937367D5D,O=C1CCCC2=C1C(c1ccccc1)Nc1ccccc1N2,bemis_murcko,1,STR-AE2AA292EDD25C175AFA,COc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(C)(C)C3)cc(OC)c1OC,4.455931955649724,ChEMBL;PubChem,CHEMBL3696198,0.747308085281985,408.4980000000002,4.934300000000004,68.82000000000001
SER-444C52E758F9EC14,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(CC2CCCCC2)N1,bemis_murcko,1,STR-ED2163A2DFC4C94EBA76,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2CCCCC2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,5.47755576649368,ChEMBL,CHEMBL2314571,0.11011220325959091,785.0479999999995,1.398370000000009,244.94
SER-4587D5BD8F3C3C18,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)COCc5ccccc54)CC3)C2)cc1)C1CC1,bemis_murcko,1,STR-24E8A686F24A9B2B9CC8,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)COCc5ccccc54)CC3)C2)cc1)C1CC1,6.517126416391246,ChEMBL;PubChem,CHEMBL5905255,0.47423765083211733,534.7660000000003,5.429300000000006,49.85000000000001
SER-45D381A09DD84709,O=C(Cc1nc(-c2ccccc2)cs1)N1CCOCC1,bemis_murcko,1,STR-D4B27E39EABBED1674BA,O=C(Cc1nc(-c2ccc(F)cc2)cs1)N1CCOCC1,3.9706162223147903,PubChem,9421974,0.8739929500869278,306.36200000000014,2.3505000000000003,42.43000000000001
SER-45EE69636ABF1765,c1ccc(OCCCN2CCC(C3(CC4CCCCC4)NCCc4ccccc43)CC2)cc1,bemis_murcko,1,STR-EE2BA933FEE514B0F89F,N#Cc1ccc(OCCCN2CCC(C3(CC4CCCCC4)NCCc4ccccc43)CC2)cc1,5.1487416512809245,ChEMBL;PubChem,CHEMBL5904150,0.4761816193664614,471.6890000000003,6.050780000000007,48.29
SER-4698EC3A559C34FE,O=C(CN1CCN(c2ncnc3sccc23)CC1)N1CCOCC1,bemis_murcko,1,STR-D0AFB81D834FFDF24514,CCc1cc2c(N3CCN(CC(=O)N4CCOCC4)CC3)ncnc2s1,4.698970004336019,ChEMBL,CHEMBL3696178,0.8011983038114118,375.4980000000001,1.2345,61.8
SER-49213A9E7B5F44C3,c1ccc(OCCCN2CCC(C3(c4ccccc4)NCCc4ccccc43)CC2)cc1,bemis_murcko,1,STR-4C19F00ABA775539C82E,N#Cc1ccc(OCCCN2CCC(C3(c4ccccc4)NCCc4ccccc43)CC2)cc1,4.448550002027125,ChEMBL;PubChem,CHEMBL6040302,0.5061882853129898,451.6140000000002,5.128680000000005,48.29
SER-4B045AE59158B70C,c1ccc(CN2CCC(CC3(C4CCCC4)NCCc4ccccc43)CC2)cc1,bemis_murcko,1,STR-C958B9047F1B12915566,c1ccc(CN2CCC(CC3(C4CCCC4)NCCc4ccccc43)CC2)cc1,4.075204004202088,ChEMBL;PubChem,CHEMBL5935780,0.7253536484739789,388.59900000000016,5.520100000000006,15.27
SER-4B543F3A83C6C0CA,c1ccc(OCCCN2CCC(C(Cc3ccncc3)c3ccccc3)CC2)cc1,bemis_murcko,1,STR-345899C1E6A28DAE7335,N#Cc1ccc(OCCCN2CCC(C(C#N)(Cc3ccncc3)c3ccccc3)CC2)cc1,3.743522793758323,PubChem,132104801,0.422239797207301,450.5860000000001,5.138460000000006,72.94
SER-4B82934EEB3B33FB,c1ccc(OCCCN2CCC(C(Cn3ccnc3)(c3ccccc3)C3CCCC3)CC2)cc1,bemis_murcko,1,STR-7A884766D31A90BA2425,Cc1nccn1CC(c1ccccc1)(C1CCCC1)C1CCN(CCCOc2ccc(C#N)cc2)CC1,6.779891911959945,ChEMBL;PubChem,CHEMBL5763857,0.3060087961998771,496.6990000000004,6.372500000000008,54.08
