series_id,scaffold_key,scaffold_method,series_size,median_p_activity,best_p_activity,minimum_p_activity,median_qed,median_mol_wt,median_logp,source_count,representative_structure_id,activity_span_log10,meets_series_minimum
SER-05203AD39EE59148,O=C(NC1CCC(C2(C3CCCC3)NCCc3ccccc32)CC1)c1ccc2[nH]ccc2c1,bemis_murcko,2,4.935542010773082,4.935542010773082,4.935542010773082,0.47087756304913225,466.6290000000002,5.559580000000005,2,STR-8162199E4581352B8C4E,0.0,False
SER-E0EE7C7514E3DE6D,c1ccc(OCCCN2CCC(C(c3ccccc3)C3CCCN3)CC2)cc1,bemis_murcko,2,4.292879444068136,4.632644078973981,3.9531148091622903,0.5304126582279446,470.6170000000004,4.5116600000000044,2,STR-84B9176A329FC508D11B,0.6795292698116908,False
SER-C7EDE3C058C5766A,c1ccc(CN2CCN(c3ncnc4sccc34)CC2)cc1,bemis_murcko,2,4.37327231861212,4.522878745280337,4.223665891943903,0.7067094243281686,355.7025000000001,3.9026000000000027,2,STR-949A51086BAD4A70A662,0.2992128533364342,False
SER-D785BDA4B03B0F18,c1ccc(-c2cc3c(N4CCN(c5nccs5)CC4)ncnc3s2)cc1,bemis_murcko,2,4.224885823472453,4.301029995663981,4.1487416512809245,0.5248759984498852,386.5275000000001,4.2956100000000035,2,STR-4B176E4EC0D4BE59BE40,0.15228834438305672,False
SER-87DF4ACBBC600AE2,O=c1cccc2n1C1CC(C2)CN(CCCCCc2ccccc2)C1,bemis_murcko,1,9.0,9.0,9.0,0.8693079130263618,352.47800000000007,2.651200000000001,1,STR-34FE1D5BDCFE7B2EB7FE,0.0,False
SER-034771967D4F78CF,O=S(=O)(c1ccc(N2CC(CN3CCC(C(Cn4ccnn4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,1,8.698970004336019,8.698970004336019,8.698970004336019,0.2405884544829769,791.0069999999997,3.830600000000003,2,STR-E4F36A98E00A8B27E8BD,0.0,False
SER-0A239C6149442B09,O=C(C=CCN1CCCC1)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC(C(CN5CCC5)(c5ccccc5)C5CCCC5)CC4)C3)cc2)C1,bemis_murcko,1,8.698970004336019,8.698970004336019,8.698970004336019,0.27060962356275065,805.0739999999995,4.778800000000005,1,STR-73526DEBB89B97E16E0E,0.0,False
SER-57AD34D644CD4890,O=C(C=CCN1CCCCC1)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC(C(Cn5ccnc5)(c5ccccc5)C5CCCC5)CC4)C3)cc2)C1,bemis_murcko,1,8.698970004336019,8.698970004336019,8.698970004336019,0.18595523900430672,858.1379999999994,5.922300000000006,2,STR-1336D74CEEF07820B1AB,0.0,False
SER-80D899E28BCE472C,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,1,8.698970004336019,8.698970004336019,8.698970004336019,0.2745035174564006,793.0629999999996,4.634700000000006,1,STR-37892E2865C156499B87,0.0,False
SER-9D75D67D737CAF6D,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCCCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CNC1,bemis_murcko,1,8.698970004336019,8.698970004336019,8.698970004336019,0.2637774778694634,807.0899999999997,5.024800000000005,1,STR-C0C912780560E33EFE90,0.0,False
